ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44591 11 44846 13 45101 15 45356 16 45611 18 45867 18 46123 18 46379 17 46635 17 46891 16 47147 16 47404 14 47661 10 47919 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,49765 11 50020 13 50275 16 50530 17 50785 18 51040 19 51295 21 51551 21 51807 21 52063 21 52319 20 52575 20 52831 20 53087 20 53343 19 53599 18 53856 16 54113 14 54372 9 54630 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10381 5 10635 8 10889 12 11143 14 11398 15 11653 16 11909 16 12165 16 12420 17 12675 18 12931 18 13187 17 13443 16 13699 16 13956 14 14213 12 14469 11 14726 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30621 3 30866 3 30874 8 31119 20 31371 24 31626 26 31881 27 32136 28 32391 29 32647 29 32902 29 33157 29 33413 26 33669 24 33925 22 34181 22 34437 21 34693 21 34950 18 35206 17 35463 14 35720 12 35979 6 36238 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50329 6 50584 8 50838 11 51093 12 51347 14 51603 15 51858 16 52113 16 52369 16 52624 17 52879 18 53135 17 53391 16 53647 16 53903 15 54159 14 54415 13 54671 12 54929 8 55186 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38053 4 38307 7 38561 10 38816 12 39070 14 39325 16 39581 16 39836 16 40092 16 40347 17 40603 16 40859 16 41116 15 41372 15 41629 13 41885 12 42142 10 42399 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47751 1 48269 6 48787 9 49306 13 49825 17 50344 27 50863 28 51382 31 51901 32 52420 32 52939 33 53458 33 53977 34 54496 35 55015 36 55534 36 56053 36 56572 36 57091 36 57610 37 58129 37 58649 36 59168 36 59687 36 60206 36 60725 36 61244 36 61763 36 62282 36 62801 36 63320 36 63839 36 64358 36 64877 36 65396 36 65915 36 66434 36 66953 37 67472 38 67991 39 68510 40 69030 39 69549 40 70068 41 70587 42 71106 43 71625 44 72145 44 72664 45 73183 15 73200 29 73702 15 73722 28 74221 15 74242 36 74740 14 74763 37 75258 15 75284 37 75777 15 75804 37 76296 15 76324 37 76815 14 76843 38 77333 15 77363 38 77852 15 77882 38 78371 15 78402 37 78890 15 78920 39 79409 15 79439 39 79928 15 79959 38 80447 15 80478 38 80966 15 80996 40 81485 15 81513 42 82004 16 82032 43 82523 17 82550 44 83042 17 83067 45 83561 17 83584 47 84080 70 84599 70 85118 70 85638 69 86157 69 86676 68 87195 68 87714 68 88233 68 88752 68 89271 68 89790 67 90309 67 90828 67 91347 68 91866 68 92386 69 92906 68 93425 69 93946 68 94466 69 94986 69 95505 70 96026 70 96546 70 97065 70 97585 70 98104 70 98624 70 99144 70 99663 71 100182 71 100702 71 101221 71 101740 72 102260 72 102779 73 103298 73 103817 74 104336 75 104856 75 105375 76 105895 75 106414 76 106935 75 107454 76 107975 75 108495 75 109016 73 109536 74 110058 73 110580 71 111101 71 111206 12 111621 71 111722 23 112140 72 112239 28 112661 71 112757 32 113182 70 113274 35 113702 70 113793 36 114222 70 114311 38 114742 70 114830 39 115262 69 115349 40 115781 70 115868 40 116291 2 116300 70 116386 41 116806 11 116820 70 116905 41 117323 14 117341 68 117424 42 117841 18 117861 67 117943 42 118359 19 118381 67 118463 41 118877 21 118900 67 118982 41 119396 21 119420 66 119501 40 119914 22 119939 67 120020 40 120433 22 120458 32 120493 33 120540 39 120952 23 120979 24 121013 32 121059 37 121471 24 121499 22 121535 30 121579 35 121990 25 122018 22 122053 32 122100 32 122509 25 122536 23 122572 33 122620 30 123028 26 123056 23 123092 32 123139 26 123547 26 123575 24 123612 32 123658 20 124066 53 124131 33 124176 12 124585 53 124650 34 124693 13 125104 26 125133 25 125170 37 125208 17 125623 26 125654 24 125689 55 126142 25 126175 24 126211 53 126661 25 126695 24 126739 44 127180 25 127217 21 127263 41 127699 24 127737 20 127785 39 128218 24 128258 17 128309 34 128737 23 128777 17 128831 32 129257 21 129297 15 129350 32 129776 20 129816 15 129869 32 130297 16 130336 14 130388 31 130822 6 130859 6 130914 22
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118335 1 118853 6 119372 7 119890 8 120409 9 120928 9 121447 10 121966 10 122485 10 123004 11 123523 11 124042 11 124561 11 125080 11 125599 11 126118 11 126637 11 127156 11 127675 11 128194 11 128714 9 129233 7 129753 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,5237 13 5755 16 6271 21 6789 24 7308 24 7339 8 7826 27 7854 14 8345 45 8864 46 9383 47 9901 49 10420 50 10938 51 11456 52 11975 52 12494 53 13013 53 13532 54 14051 55 14570 56 15089 56 15608 56 16127 56 16646 56 17165 56 17684 56 18203 57 18722 57 19241 57 19760 57 20279 29 20309 27 20798 29 20829 26 21318 27 21349 25 21837 27 21868 25 22356 26 22388 24 22875 24 22908 23 23378 11 23395 23 23428 21 23893 20 23914 22 23947 21 24410 44 24467 19 24926 29 24956 16 24988 16 25444 30 25479 12 25510 8 25961 32 26004 5 26479 34 26524 18 26997 35 27043 19 27516 34 27561 23 28034 35 28079 25 28553 35 28598 27 29072 35 29115 30 29589 37 29633 31 30108 36 30152 32 30626 37 30670 33 31145 37 31189 33 31664 37 31707 34 32183 37 32224 36 32702 37 32742 37 33221 37 33261 37 33740 36 33780 36 34259 34 34299 36 34778 34 34818 35 35297 33 35337 34 35816 33 35856 34 36336 31 36374 34 36855 30 36893 33 37374 28 37412 33 37894 26 37931 31 38414 23 38450 30 38935 19 38969 29 39456 14 39488 29 40008 26 40528 24 41047 24 41567 21 42089 15 42609 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,44712 3 45223 18 45741 22 46258 26 46777 27 47295 29 47814 30 48332 32 48851 32 49370 32 49888 33 50407 33 50925 34 51444 34 51963 34 52482 34 53002 32 53522 30 54041 30 54561 28 55081 26 55602 21 56123 16
